Location,AgeGrp,PopMale,PopFemale,PopTotal
Micronesia (Fed. States of),60+,2.0,3.0,5.0
Middle Africa,0-19,50378.0,49727.0,100105.0
Middle Africa,20-39,24800.0,24844.0,49644.0
Middle Africa,40-59,10843.0,11163.0,22006.0
Middle Africa,60+,3590.0,4230.0,7820.0
Mongolia,0-19,625.0,610.0,1235.0
Mongolia,20-39,532.0,529.0,1061.0
Mongolia,40-59,351.0,381.0,732.0
Mongolia,60+,96.0,135.0,231.0
Montenegro,0-19,78.0,70.0,148.0
Montenegro,20-39,87.0,81.0,168.0
Montenegro,40-59,78.0,82.0,160.0
Montenegro,60+,59.0,74.0,133.0
Morocco,0-19,6586.0,6259.0,12845.0
Morocco,20-39,5725.0,5761.0,11486.0
Morocco,40-59,3905.0,4288.0,8193.0
Morocco,60+,2092.0,2277.0,4369.0
Mozambique,0-19,8663.0,8645.0,17308.0
Mozambique,20-39,4347.0,4532.0,8879.0
Mozambique,40-59,1635.0,2050.0,3685.0
Mozambique,60+,532.0,829.0,1361.0
Myanmar,0-19,9519.0,9414.0,18933.0
Myanmar,20-39,8472.0,8759.0,17231.0
Myanmar,40-59,5968.0,6821.0,12789.0
Myanmar,60+,2248.0,3184.0,5432.0
Namibia,0-19,588.0,590.0,1178.0
Namibia,20-39,404.0,421.0,825.0
Namibia,40-59,179.0,205.0,384.0
Namibia,60+,53.0,84.0,137.0
Nepal,0-19,5848.0,5732.0,11580.0
Nepal,20-39,4050.0,5626.0,9676.0
Nepal,40-59,2291.0,3058.0,5349.0
Nepal,60+,1149.0,1365.0,2514.0
Netherlands,0-19,1900.0,1801.0,3701.0
Netherlands,20-39,2130.0,2062.0,4192.0
Netherlands,40-59,2344.0,2327.0,4671.0
Netherlands,60+,2152.0,2397.0,4549.0
Netherlands (and dependencies),0-19,1944.0,1843.0,3787.0
Netherlands (and dependencies),20-39,2171.0,2105.0,4276.0
Netherlands (and dependencies),40-59,2389.0,2379.0,4768.0
Netherlands (and dependencies),60+,2183.0,2440.0,4623.0
New Caledonia,0-19,41.0,39.0,80.0
New Caledonia,20-39,41.0,40.0,81.0
New Caledonia,40-59,36.0,36.0,72.0
New Caledonia,60+,16.0,18.0,34.0
New Zealand,0-19,634.0,602.0,1236.0
New Zealand,20-39,646.0,641.0,1287.0
New Zealand,40-59,581.0,635.0,1216.0
New Zealand,60+,500.0,564.0,1064.0
New Zealand (and dependencies),0-19,637.0,606.0,1243.0
New Zealand (and dependencies),20-39,648.0,643.0,1291.0
New Zealand (and dependencies),40-59,584.0,637.0,1221.0
New Zealand (and dependencies),60+,502.0,565.0,1067.0
Nicaragua,0-19,1312.0,1241.0,2553.0
Nicaragua,20-39,1113.0,1103.0,2216.0
Nicaragua,40-59,584.0,684.0,1268.0
Nicaragua,60+,245.0,321.0,566.0
Niger,0-19,7456.0,7199.0,14655.0
Niger,20-39,2970.0,3001.0,5971.0
Niger,40-59,1244.0,1328.0,2572.0
Niger,60+,489.0,498.0,987.0
Nigeria,0-19,56974.0,54577.0,111551.0
Nigeria,20-39,29188.0,28354.0,57542.0
Nigeria,40-59,13869.0,13864.0,27733.0
